,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
138,2022-05-19,5453.35085413929,5000.0,10453.350854139291,10095.26938239159,0.0,0,1.0,1.0
139,2022-05-20,5719.448094612352,5000.0,10719.448094612351,10453.350854139291,0.0,0,1.0,1.0
140,2022-05-21,5778.580814717478,5000.0,10778.580814717478,10719.448094612351,0.0,0,1.0,1.0
141,2022-05-22,6143.23258869908,5000.0,11143.23258869908,10778.580814717478,0.0,0,1.0,1.0
142,2022-05-23,6087.385019710908,5000.0,11087.385019710908,11143.23258869908,0.0,0,1.0,1.0
143,2022-05-24,6343.626806833115,5000.0,11343.626806833116,11087.385019710908,0.0,0,1.0,1.0
144,2022-05-25,6708.278580814717,5000.0,11708.278580814716,11343.626806833116,0.0,0,1.0,1.0
145,2022-05-26,6218.791064388963,5000.0,11218.791064388963,11708.278580814716,0.0,0,1.0,1.0
146,2022-05-27,5942.838370565047,5000.0,10942.838370565047,11218.791064388963,0.0,0,1.0,1.0
147,2022-05-28,5781.865965834429,5000.0,10781.86596583443,10942.838370565047,0.0,0,1.0,1.0
148,2022-05-29,6110.381077529567,5000.0,11110.381077529568,10781.86596583443,0.0,0,1.0,1.0
149,2022-05-30,6704.993429697766,5000.0,11704.993429697766,11110.381077529568,0.0,0,1.0,1.0
150,2022-05-31,6524.31011826544,5000.0,11524.310118265439,11704.993429697766,0.0,0,1.0,1.0
151,2022-06-01,6530.880420499344,5000.0,11530.880420499343,11524.310118265439,0.0,0,1.0,1.0
152,2022-06-02,6616.29434954008,5000.0,11616.29434954008,11530.880420499343,0.0,0,1.0,1.0
153,2022-06-03,6360.052562417871,5000.0,11360.05256241787,11616.29434954008,0.0,0,1.0,1.0
154,2022-06-04,6212.220762155059,5000.0,11212.220762155059,11360.05256241787,0.0,0,1.0,1.0
155,2022-06-05,6172.798948751643,5000.0,11172.798948751642,11212.220762155059,0.0,0,1.0,1.0
156,2022-06-06,6215.505913272011,5000.0,11215.50591327201,11172.798948751642,0.0,0,1.0,1.0
157,2022-06-07,6159.658344283837,5000.0,11159.658344283838,11215.50591327201,0.0,0,1.0,1.0
158,2022-06-08,6126.806833114323,5000.0,11126.806833114322,11159.658344283838,0.0,0,1.0,1.0
159,2022-06-09,6107.095926412615,5000.0,11107.095926412614,11126.806833114322,0.0,0,1.0,1.0
160,2022-06-10,5726.018396846255,5000.0,10726.018396846255,11107.095926412614,0.0,0,1.0,1.0
161,2022-06-11,5469.776609724047,5000.0,10469.776609724047,10726.018396846255,0.0,0,1.0,1.0
162,2022-06-12,5197.109067017082,5000.0,10197.109067017082,10469.776609724047,0.0,0,1.0,1.0
163,2022-06-13,4362.680683311433,5000.0,9362.680683311433,10197.109067017082,0.0,0,1.0,1.0
164,2022-06-14,3886.3337713534825,5000.0,8886.333771353482,9362.680683311433,0.0,0,1.0,1.0
165,2022-06-15,3892.904073587385,5000.0,8892.904073587386,8886.333771353482,0.0,0,1.0,1.0
166,2022-06-16,3505.2562417871222,5000.0,8505.256241787123,8892.904073587386,0.0,0,1.0,1.0
167,2022-06-17,3761.49802890933,5000.0,8761.49802890933,8505.256241787123,0.0,0,1.0,1.0
168,2022-06-18,3429.6977660972407,5000.0,8429.69776609724,8761.49802890933,0.0,0,1.0,1.0
169,2022-06-19,3758.212877792379,5000.0,8758.212877792379,8429.69776609724,0.0,0,1.0,1.0
170,2022-06-20,3853.4822601839687,5000.0,8853.48226018397,8758.212877792379,0.0,0,1.0,1.0
171,2022-06-21,3909.329829172142,5000.0,8909.329829172142,8853.48226018397,0.0,0,1.0,1.0
172,2022-06-22,3653.0880420499348,5000.0,8653.088042049934,8909.329829172142,0.0,0,1.0,1.0
173,2022-06-23,4030.880420499343,5000.0,9030.880420499343,8653.088042049934,0.0,0,1.0,1.0
174,2022-06-24,4159.001314060447,5000.0,9159.001314060446,9030.880420499343,0.0,0,1.0,1.0
175,2022-06-25,4185.282522996058,5000.0,9185.282522996058,9159.001314060446,0.0,0,1.0,1.0
176,2022-06-26,4116.294349540079,5000.0,9116.29434954008,9185.282522996058,0.0,0,1.0,1.0
177,2022-06-27,3955.3219448094615,5000.0,8955.32194480946,9116.29434954008,0.0,0,1.0,1.0
178,2022-06-28,3863.3377135348223,5000.0,8863.337713534822,8955.32194480946,0.0,0,1.0,1.0
179,2022-06-29,3909.329829172142,5000.0,8909.329829172142,8863.337713534822,0.0,0,1.0,1.0
180,2022-06-30,3715.5059132720103,5000.0,8715.50591327201,8909.329829172142,0.0,0,1.0,1.0
181,2022-07-01,3791.0643889618927,5000.0,8791.064388961893,8715.50591327201,0.0,0,1.0,1.0
182,2022-07-02,3810.7752956636004,5000.0,8810.7752956636,8791.064388961893,0.0,0,1.0,1.0
183,2022-07-03,3830.4862023653086,5000.0,8830.486202365308,8810.7752956636,0.0,0,1.0,1.0
184,2022-07-04,4073.5873850197113,5000.0,9073.587385019711,8830.486202365308,0.0,0,1.0,1.0
185,2022-07-05,4027.5952693823915,5000.0,9027.595269382391,9073.587385019711,0.0,0,1.0,1.0
186,2022-07-06,4126.149802890933,5000.0,9126.149802890934,9027.595269382391,0.0,0,1.0,1.0
187,2022-07-07,4283.8370565046,5000.0,9283.837056504599,9126.149802890934,0.0,0,1.0,1.0
188,2022-07-08,4116.294349540079,5000.0,9116.29434954008,9283.837056504599,0.0,0,1.0,1.0
189,2022-07-09,4178.712220762155,5000.0,9178.712220762154,9116.29434954008,0.0,0,1.0,1.0
190,2022-07-10,4264.126149802892,5000.0,9264.12614980289,9178.712220762154,0.0,0,1.0,1.0
191,2022-07-11,4172.141918528252,5000.0,9172.141918528252,9264.12614980289,0.0,0,1.0,1.0
192,2022-07-12,4044.0210249671486,5000.0,9044.021024967149,9172.141918528252,0.0,0,1.0,1.0
193,2022-07-13,4080.157687253614,5000.0,9080.157687253613,9044.021024967149,0.0,0,1.0,1.0
194,2022-07-14,4402.102496714849,5000.0,9402.102496714848,9080.157687253613,0.0,0,1.0,1.0
195,2022-07-15,4559.789750328516,5000.0,9559.789750328517,9402.102496714848,0.0,0,1.0,1.0
196,2022-07-16,4563.074901445467,5000.0,9563.074901445467,9559.789750328517,0.0,0,1.0,1.0
197,2022-07-17,4467.805519053876,5000.0,9467.805519053876,9563.074901445467,0.0,0,1.0,1.0
198,2022-07-18,4825.886990801578,5000.0,9825.886990801577,9467.805519053876,0.0,0,1.0,1.0
199,2022-07-19,4806.1760840998695,5000.0,9806.176084099869,9825.886990801577,0.0,0,1.0,1.0
200,2022-07-20,4977.003942181341,5000.0,9977.003942181342,9806.176084099869,0.0,0,1.0,1.0
201,2022-07-21,4963.863337713535,5000.0,9963.863337713534,9977.003942181342,0.0,0,1.0,1.0
202,2022-07-22,4894.875164257556,5000.0,9894.875164257555,9963.863337713534,0.0,0,1.0,1.0
203,2022-07-23,4806.1760840998695,5000.0,9806.176084099869,9894.875164257555,0.0,0,1.0,1.0
204,2022-07-24,4973.71879106439,5000.0,9973.71879106439,9806.176084099869,0.0,0,1.0,1.0
